"#Table","","","","","","","","","",""
"objid","specobjid","type","ra","dec","u","g","r","i","z","redshift"
"1.2376719398046E+18","3.9412079598033E+17","GALAXY","258.09647270057","64.032524745241","19.7303","17.5545","16.5434","16.1117","15.778","0.0798101"
"1.2376719398046E+18","","GALAXY","258.06600407608","64.072576665212","19.7166","17.5838","16.649","16.1992","15.9015",""
"1.2376719398046E+18","3.9641602814748E+17","GALAXY","258.17098691936","64.072696526034","19.223","17.0734","16.1234","15.6449","15.3313","0.0834782"
"1.2376719398046E+18","","GALAXY","258.06749531324","64.036771863091","19.8689","17.792","16.8083","16.3604","16.006",""
"1.2376719398046E+18","3.9642015131608E+17","GALAXY","258.21335660607","64.073169571928","19.2281","17.1931","16.2625","15.747","15.4874","0.0739062"
"1.2376719398046E+18","3.9641740253701E+17","GALAXY","258.1199460569","64.060748283265","17.3246","14.9372","14.0367","13.5631","13.3306","0.0734653"
"1.2376719398046E+18","","GALAXY","258.10695464877","64.065428384856","19.5965","17.7908","16.8632","16.4018","16.0949",""
"1.2376719398046E+18","3.9641932668236E+17","GALAXY","258.15021712699","64.085537353864","20.8836","18.5299","17.6346","17.1855","16.9078","0.0827987"
"1.2376719398046E+18","3.9641960156027E+17","GALAXY","258.08053724609","64.035633394317","18.7973","16.6194","15.6579","15.2501","15.0137","0.0826104"
"1.2376719398046E+18","","GALAXY","258.14393028431","64.053377688856","20.9647","18.9541","17.9613","17.5021","17.1744",""
"1.2376719398046E+18","3.9641822717073E+17","GALAXY","258.10977973711","64.082119752082","21.0559","18.8184","17.848","17.4003","17.1187","0.0794584"
"1.2376719398046E+18","3.9641905180445E+17","GALAXY","258.22678221697","63.992417678229","18.1421","16.1903","15.2639","14.8277","14.4893","0.0828583"
"1.2376719398046E+18","","GALAXY","258.25845785894","64.052297088475","17.967","15.819","14.8289","14.3912","14.0815",""
"1.2376719398046E+18","","GALAXY","258.2588672739","64.001063382578","20.7317","18.6405","17.7593","17.3376","17.0281",""
"1.2376719398046E+18","","GALAXY","258.31582622244","64.051847383152","18.7056","16.5306","15.5862","15.1247","14.8226",""
"1.2376719398046E+18","3.9642839765329E+17","GALAXY","258.37130533882","64.046869286483","17.8016","15.6532","14.6471","14.2188","13.8967","0.0784396"
"1.2376719398046E+18","3.9410127964893E+17","GALAXY","258.26572244079","64.117118001504","18.4711","16.4756","15.5316","15.0885","14.7437","0.0809227"
"1.2376719398046E+18","3.9642784789748E+17","GALAXY","258.34051661414","64.069070719841","18.6956","16.6482","15.7095","15.2741","14.9522","0.0761909"
"1.2376719398046E+18","3.964286725312E+17","GALAXY","258.39129801918","64.0133828371","18.5075","16.4846","15.5341","15.1314","14.7814","0.0820919"
"1.2376719398046E+18","3.9409083428847E+17","GALAXY","258.45077486134","64.020368404316","19.5123","17.5816","16.6566","16.2122","15.8539","0.0820604"
